Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Scientist,-1,"Senior Scientist – Molecular Biology
Company Description
Personalized immunotherapies are the future of the fight against cancer, and IsoPlexis (www.isoplexis.com) is Making the Difference in enabling the lofty goal of employing immunotherapies to combat our toughest diseases. Our integrated systems, named #1 Innovation by Scientist Magazine & World-Leading Design by Red Dot, are changing cancer research by connecting biological readouts to what is actually happening in patients. Our game changing hardware technologies, originally from Cal Tech and Yale, combined with our next generation software and data visualizations, are powered by our amazing R&D team and used throughout the world. We work with a growing list of leading researchers who are publishing findings that connect our readouts to what is truly happening in patients, and that excites & drives all of us to do more! If you like working at the intersection of biological sciences and healthcare, and you enjoy intellectually challenging yet fulfilling projects, give us a call. Our fast growing, 200+ person team has a sense of integrity, energy, and urgency to ‘make things happen’ in our collective careers and in the broader world, and we look forward to talking.",3.7,"IsoPlexis
3.7","Branford, CT",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Research Scientist,-1,"Job Description:
Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.
We believe an employee's specific academic training is not as important as their innate ability and willingness to learn new areas of mathematics and work on difficult problems.
Required Qualifications:",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
"Senior Scientist, Cell Manufacturing",-1,"Job Purpose
Canventa has a new role for a Senior Scientist, Cell Manufacturing to provide scientific expertise for the development of multiple product lines for iPSC and iPSC derived differentiated cell types at Canventa Life Sciences. This role guides development strategies for diverse product portfolios and advances Canventa’s long-term success in current and emerging markets through product and technological innovation. This scientist drives collaborations both internally and externally to facilitate development of cutting edge products and scalable manufacturing processes.
Duties and Responsibilities
Responsible for providing advanced scientific expertise for multiple product lines with particular emphasis on iPSCs, iPSC-derived cell types, organoids, and other culture-derived cell products.",-1,Canventa Life Sciences,"Emeryville, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$100K - $160K (Glassdoor est.),"Are you passionate about providing real impact to the country's toughest national security problems?

Are you searching for engaging work with an employer that prioritizes innovation?

If so, we may be looking for you to join our group at the Johns Hopkins University Applied Physics Laboratory (JHU/APL)!
The Tactical Intelligence Systems Group of the Asymmetric Operations Sector is seeking a Data Scientist to develop cutting-edge solutions for challenges in data science and machine learning!",4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",-1,5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1
Data Scientist,$82K - $135K (Glassdoor est.),"Description
Job Description:
The Defense Group of Leidos has an opening for a Data Scientist supporting the Global Information Grid (GIG) Service Management-Operations (GSM-O) contract at Ft. Meade, MD.
In this role, you will enable Command and Control (C2) of the Department of Defense Information Network (DODIN) by supporting the DISA Command Network in its application of big-data to realize the benefits of aggregation and correlation of historic and actualized data.
This agency provides, operates, and assures command and control and information-sharing capabilities and a globally accessible enterprise information infrastructure in direct support to joint warfighters, national level leaders, and other mission and coalition partners across the full spectrum of military operations.
Eligible
No
Top Secret/SCI
Yes, 10% of the time
40
Day
Professional
Data Scientist",3.8,"Leidos
3.8","Fort Meade, MD",-1,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Process Scientist/Senior Process Scientist,-1,"· Independently design and execute experiments to evaluate and develop scalable synthetic routes to small molecule targets.
· Work to determine operational space for various process parameters to ensure efficient and successful scale up.
· Evaluate safety of processes utilizing calorimetry data and stability data to fully understand the hazards and the trigger points of these hazards.
· Problem solve complex synthetic problems during development.
· Execute scale up of processes in the kilo labs in both GMP and non-GMP environments.
· Support scale up of processes in the pilot plant in both GMP and non-GMP environments.",-1,Flamma USA,"Malvern, PA",-1,-1,-1,-1,-1,-1,-1,-1
Scientist,$51K - $108K (Glassdoor est.),"Classification:
Salary
Job Description:
Are you looking for a new challenge? Passionate about innovation? Want to work for a company that values integrity, teamwork and loyalty?
At LATICRETE International we are driven to be a top ten construction chemical company that still values family, diversity, collaboration and invention. We’ve been in business for over 60 years, family owned/operated for three generations and are available in 100 countries. In 2017, The Hartford Business Journal named us one of Connecticut’s Top Family Owned Companies!",3.5,"Laticrete International
3.5","Grand Prairie, TX",-1,201 to 500 Employees,-1,Company - Private,Chemical Manufacturing,Manufacturing,$100 to $500 million (USD),-1
Senior Research Scientist,-1,"Co-Diagnostics Inc, a biotechnology company committed to finding innovative diagnostic solutions to global health problems, is seeking highly motivated and passionate applicants for a Senior Research Scientist. This position will be responsible for leading research and development efforts of novel products and technologies related to oncology diagnostics.
Responsibilities:
Design molecular assays using PCR technologies
Analyze and document experiment results according to company procedures
Report progress to management on a regular basis
Interface with collaborators",-1,Co-Diagnostics Inc.,"Salt Lake City, UT",-1,-1,-1,-1,-1,-1,-1,-1
Associate Data Analyst,$37K - $70K (Glassdoor est.),"Digital Remedy is a media execution company that specializes in finding operational efficiencies within the overcomplicated digital ad space.
We focus on a non-biased, omni-channel, multi-DSP approach backed by a proprietary workflow platform and teams of experts in all major advertising technologies. Our 20 years of investment in the digital advertising ecosystem allows our advertisers, publishers, and agency clients to leverage the economies of scale provided by our people and tools. Simply put - any company touching digital media execution, from planning and buying, to optimizing, invoicing, and reporting needs to be working with Digital Remedy.
We are seeking an associate data analyst to join our data operations team and play an important role in our growing organization! You will bring a blend of technical capabilities, business acumen and analytical skills, and leverage those skills while working with clients, other digital remedy departments, assisting with the challenges of our biggest clients and uncover actionable insights that drive revenue.

Day-to-day you will:",3.7,"Digital Remedy
3.7","New York, NY",-1,201 to 500 Employees,2000,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1
Senior Data Scientist,$109K - $175K (Glassdoor est.),"Job Posting Title
Senior Data Scientist
Summary
About Self Aware Games
Self Aware Games has been creating innovative, genre-defining products since 2006. A winning mix of compelling content and engaging social experiences keeps us top-of-the-charts in the social casino category. Our flagship game, Big Fish Casino, has generated more than $1B in bookings to-date making it one of the best performing mobile games ever. Self Aware Games is based in beautiful downtown Oakland, Calif., and is a business unit of Seattle-based Big Fish Games, Inc., part of Aristocrat Leisure Limited.

We are looking for passionate and highly creative game engineers, artists, designers, product managers, analysts (and more!) to help build the world’s #1 social gaming company. With a strong portfolio of live games and new products in development we are hiring in all disciplines. If you are a passionate game-maker who wants to innovate, contribute and hone your craft as part of a close-knit, collaborative and inclusive culture, Self Aware Games is for you. Here are a few more company highlights:



Oakland, CA, US
Big Fish Games
Regular
Full time
Big Fish Games",3.2,"Big Fish Games
3.2","Oakland, CA",-1,501 to 1000 Employees,2002,Subsidiary or Business Segment,Video Games,Media,$50 to $100 million (USD),-1
Data Scientist Intern,-1,"More About Silicon Labs:

We are Silicon Labs. We are the leading provider of silicon, software and solutions for a smarter, more connected world.

We hire the most innovative talent in the world to solve the industry’s toughest problems, providing our customers with significant advantages in performance, energy savings, connectivity and design simplicity. Silicon Labs’ software and mixed signal engineering teams create solutions for customers in diverse markets including theInternet of Things, (IoT), internet infrastructure, TV tuners, as well as automotive and consumer radios. Our solutions arein products from the market leadersin home automation, electric vehicles, green technology, smart TVsand home voice control automation. We take pride in our products and in our people, and that’s one of the many reasons we continue to be awardedMost Respected Public Semiconductor Company by the Global Semiconductor Alliance.

, you will help develop insights, strategy, and data visualizations for marketing the industry’s leading products in IoT and Infrastructure and Automotive (I&A) all while being mentored and closely guided by the best operations experts who have a vested interest in your success. And don’t worry, you’ll still have plenty of opportunities to learn, network, and develop new skills through our social events, development lectures, and volunteer opportunities.

Excited? See what it’s like to be a part of the Silicon Labs Team

bit.ly/SiliconLabsInterns

bit.ly/WomenatSilabs

bit.ly/WhySilabsInternship



Projects are specifically tailored to each intern, ensuring a meaningful contribution to both your skillset and Silicon Labs. Here are just a few of the challenges you might get to tackle:




You are an innovator, builder, and tinkerer. You have a curious mind and a drive to succeed. You want to work with a global team of technology enthusiasts and design pioneers. Here’s what you need:


Apply what you’ve learned in school to build technology that solves some of the planet’s most significant challenges. You will join a community of fellow interns and alumni who engage and empower your excellence. Take it from our previous interns:

""I enjoyed my internship because of the projects I worked on, my manager and fellow interns, and the company culture. These 3 aspects all contributed to a well-rounded internship experience, and I was excited to show up to work every morning!"" - 2018 Marketing Intern

“I learned so much about technical marketing and the skills needed to be successful. I greatly enjoyed working in a positive, relaxed, yet professional environment full of extremely smart people. I loved working on a small team and immersing myself into the team.” – 2017 Marketing Intern

Curious for more feedback? Check out our Glassdoor (bit.ly/SilabsGlassdoor)

bit.ly/SilabsUR",4.5,"Silicon Labs
4.5","Austin, TX",-1,1001 to 5000 Employees,1996,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
Data Scientist,$87K - $142K (Glassdoor est.),"At Farm Credit Mid-America, we believe people are our strongest asset. We are consistently looking to hire individuals from a wide range of experience and capabilities who have a desire to serve. Currently, we have over 1,400 employees across Indiana, Ohio, Kentucky and Tennessee.
BASIC FUNCTION : The Data Scientist focuses on using advanced analytics in support of the Association’s strategic objectives. This position is responsible for performing sophisticated data analytics (encompassing data mining, statistical analysis, predictive analytics, for example), and developing, documenting and supporting the deployment of quantitative models and other analytics tools. Identifies actionable insights from data that measurably improve business outcomes and/or reduce risk. Collects and prepares data for analysis, performs exploratory to advanced predictive and/or modeling analytics, and identifies data relationships (patterns and trends). Provides consultation to business leaders and other stakeholders on how to leverage analytic insights to build actionable strategies. Projects may include but not be limited to: automated credit decisioning, risk rating models, loan performance forecasting and analytics and model validation.",4.1,"Farm Credit Mid-America
4.1","Louisville, KY",-1,1001 to 5000 Employees,1985,Company - Private,Lending,Finance,$100 to $500 million (USD),-1
Sr. Data Analyst,-1,"Creative Market is the world's leading marketplace for design — a platform where creators from across the globe buy and sell digital high-quality design assets. We’re passionate about building tools and experiences that make design beautiful, effective, and accessible to everyone. Our platform is used by millions of customers and we’re growing rapidly. We need your help to continue to craft our product with purpose and intention.

Data is integral to Creative Market's decision-making process and results-driven culture. As our Sr. Data Analyst, you’ll help us dramatically increase the number of customers who buy and sell on the marketplace by discovering insights from large quantities of data and partnering closely with marketing, product, and cross-functional teams to take meaningful action on these insights. You’ll bring your expertise in data analysis (especially SQL), marketing, and channel performance. You’ll apply your strong business acumen to help deliver clear insights and recommendations that get the right results, serving as a technical expert, leader, and champion for analytics at Creative Market.",4.3,"Creative Market
4.3",United States,-1,1 to 50 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Visualization Scientist,$79K - $136K (Glassdoor est.),"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?
Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?
Do you value working in a creative and collaborative environment?
If so, we are looking for someone like you to join our team!
The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to:",4.7,"Johns Hopkins Applied Physics Laboratory (APL)
4.7","Laurel, MD",-1,5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1
"Senior Scientist, R&D",-1,"Position Summary: LGC Biosearch Technologies is a leading manufacturer of oligonucleotides, reagents, and custom life science solutions. The Senior Scientist position is responsible for participating in, and helping lead, the company's product research and development programs. This position requires an individual with strong problem solving skills, good laboratory technique, and the ability to design and execute complex experiments. This position requires a strong molecular biology background with a high level of expertise in PCR/qPCR, and the ability to learn new and emerging technologies that are oligo based. Familiarity with, or a willingness to learn the principles of oligonucleotide manufacture, from chemical components, to synthesis and purification is a must. The Senior Scientist will help decide future strategies of the R&D Department and the Company.
Areas of Responsibility:
This position requires a talented and self-managing individual to work closely with members of the R&D group to assist in development of new products and applications utilizing custom oligonucleotides.",5.0,"LGC Limited
5.0","Petaluma, CA",-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
Lab Scientist,-1,"Small high tech company looking for an experienced, organized, and motivated person to work in a testing laboratory that performs contract mechanical testing on medical devices. Experience in an ISO 17025 or GLP certified lab preferred. Applicant should be comfortable with scientific writing; experience in writing for regulatory submission preferred. Job duties include: Perform contract tests in laboratory. Oversee handling of customer samples. Convey complex technical data directly to customers and sales staff; provide data and reports in a timely manner, according to approved protocols. Write and submit protocols, work instructions, and final reports in cooperation with customers, sales, and quality staff. Perform qualification and minor repair on instrumentation. Comply with lab safety practices. Maintain testing supplies inventory. Complete laboratory documentation. General work hours are 8-5 in Galena, MO; 1 hour for lunch; salaried; exempt; SIMPLE IRA; 7 holidays; 4 days PTO yearly; paid vacations. Salary commensurate with education and experience.
Job Type: Full-time
Benefits:",-1,"Dynatek Labs, Inc.","Galena, MO",-1,-1,-1,-1,-1,-1,-1,-1
Junior Data Engineer,-1,"Who we are...

Connecting people in a more meaningful way is not just what BombBombs software delivers - its what drives our teams every day. Through simple, personal video, we aim to Rehumanize communication. Our team is resourceful and intelligent. Competitive and collaborative. Fun-loving and tenacious. Were close-knit and love adding new talent to the mix. If you are seeking a dynamic workplace and new challenges, we want to hear from you!

Who we're looking for...

A Junior Data Engineer eager to learn and collaborate with those around them; produces quality results with a low frequency of serious defects; attentive to the needs of the quality feedback loop, from report to resolution; ability to take ideas and requirements from concept to completion and engage those who are crucial to the projects success.





The salary range for this position is $55,000 - $85,000 annually. Final compensation for this role is determined by a variety of factors, such as a candidate's relevant work experience, skills, certifications, and geographic location.

Powered by JazzHR",4.1,"BombBomb
4.1",Colorado,-1,51 to 200 Employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Scientist - Process/Organic Chemistry,-1,"Job Description
Join a rapidly growing, well-funded company that is developing exciting new life science technologies. The successful candidate will play a key role in the process development and manufacture of our company’s core compounds, used in our products. The candidate combines a strong synthetic chemistry background, interpretation of analytical data, and responsibility for delivering robust and scalable synthesis workflows. Join an outstanding team of scientists and engineers in the development and commercialization of products that will unleash the next transformation of genomics!
Responsibilities
Involvement in all aspects of development & manufacturing activities, from planning and execution of synthetic reactions, preparing and drafting batch records, and developing and optimizing new procedures.",4.3,"Stealth Mode Startup
4.3","Newark, CA",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
SCIENTIST - BIOPHARMACEUTICALS,-1,"JOB DESCRIPTION
Company Overview

PPD is a leading global Contract Research Organization - currently operating in nearly 50 countries! At PPD we are passionate, deliberate, and driven by our purpose - to improve health. Our organization works with a diverse group of pharmaceutical companies to help bend the cost and time curve of small molecule, biologic, and vaccine product development.

This position is located at our GMP lab in Middleton, WI - the largest GMP laboratory in North America. Check out this video for a brief introduction to our lab as told by our scientists: https://vimeo.com/284382895/ce7832f6d9.",-1,PPD,"Middleton, WI",-1,-1,-1,-1,-1,-1,-1,-1
Data Scientist,$75K - $126K (Glassdoor est.),"At YETI, we believe that time spent outdoors matters more than ever and our gear can make that time extraordinary. When you work here, you'll have the opportunity to create exceptional, meaningful work and problem solve with innovative team members by your side. Together, you'll help our customers get the high-quality gear they need to make the most of their adventures. We are BUILT FOR THE WILD™.

The Data Scientist will draw insights from large and/or complex data sets to solve business problems addressed by use cases. The Data Scientist will assess applicability of different AI/ML methods for different use cases and be responsible for building and iterating models to support business outcomes. The Data Scientist will help drive advanced analytics thinking and methodologies by investigating various topics and sharing insights with broader Data & Analytics team as well as business stakeholders

Responsibilities:






#LI-CL1",4.0,"YETI Coolers
4.0","Austin, TX",-1,501 to 1000 Employees,2006,Company - Public,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
